Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,uid,type
30.0,26,27.0,25.0,45.0,u00,Pre
25.0,34,40.0,22.0,39.0,u01,Pre
17.0,27,38.0,28.0,32.0,u02,Pre
17.0,29,35.0,27.0,27.0,u03,Pre
19.0,28,24.0,33.0,29.0,u04,Pre
25.0,34,40.0,22.0,33.0,u05,Pre
25.0,38,34.0,18.0,23.0,u07,Pre
19.0,41,24.0,17.0,33.0,u09,Pre
16.0,12,43.0,27.0,36.0,u10,Pre
26.0,33,30.0,20.0,33.0,u14,Pre
26.0,32,28.0,22.0,30.0,u15,Pre
14.0,30,32.0,34.0,38.0,u16,Pre
21.0,35,30.0,25.0,45.0,u17,Pre
21.0,20,29.0,30.0,25.0,u18,Pre
14.0,28,31.0,29.0,32.0,u19,Pre
31.0,39,30.0,19.0,36.0,u20,Pre
24.0,33,27.0,30.0,36.0,u23,Pre
28.0,24,21.0,25.0,35.0,u24,Pre
20.0,35,24.0,25.0,33.0,u27,Pre
36.0,37,40.0,16.0,36.0,u30,Pre
34.0,35,26.0,25.0,37.0,u31,Pre
34.0,38,39.0,14.0,37.0,u32,Pre
23.0,30,17.0,29.0,46.0,u33,Pre
26.0,39,28.0,23.0,33.0,u34,Pre
21.0,35,32.0,21.0,34.0,u35,Pre
28.0,37,34.0,14.0,35.0,u36,Pre
25.0,38,22.0,20.0,39.0,u42,Pre
19.0,37,38.0,20.0,33.0,u43,Pre
27.0,33,34.0,18.0,36.0,u44,Pre
30.0,33,31.0,25.0,37.0,u45,Pre
35.0,29,31.0,16.0,38.0,u47,Pre
23.0,38,33.0,20.0,43.0,u49,Pre
27.0,34,34.0,22.0,40.0,u51,Pre
13.0,30,20.0,33.0,35.0,u52,Pre
18.0,36,26.0,36.0,44.0,u53,Pre
13.0,37,30.0,16.0,41.0,u56,Pre
17.0,39,32.0,31.0,36.0,u58,Pre
32.0,37,23.0,23.0,35.0,u59,Pre
